HymnNumber,Text,CleanedText
133,"Previous Hymn Next Hymn Favorite Create O Come, All Ye Faithful Added to Favorites Lyrics 1 O come, all ye faithful, joyful and triumphant; O come ye; O come ye to Bethlehem! Come, and behold him, born the King of angels! O come, let us adore him; O come, let us adore him; O come, let us adore him, Christ, the Lord! 2 True God from true God, Light from light eternal, born of a virgin, a mortal he comes; very God, begotten, not created! O come, let us adore him; O come, let us adore him; O come, let us adore him, Christ, the Lord! 3 Sing, choirs of angels; sing in exultation; sing, all ye citizens of heaven above! Glory to God, all glory in the highest! O come, let us adore him; O come, let us adore him; O come, let us adore him, Christ, the Lord! 4 Yea, Lord, we greet thee, born this happy morning; Jesus, to thee be all glory given; Word of the Father, now in flesh appearing! O come, let us adore him; O come, let us adore him; O come, let us adore him, Christ, the Lord! Informational Notes From its Roman Catholic origins, this 18th-century hymn has spread to worldwide use by many denominations in both Latin and vernacular versions.  Once popular with a wide range of hymn texts, this tune is now firmly associated with this Christmas text from which it is named.","1 O come, all ye faithful, joyful and triumphant; O come ye; O come ye to Bethlehem! Come, and behold him, born the King of angels! O come, let us adore him; O come, let us adore him; O come, let us adore him, Christ, the Lord! 2 True God from true God, Light from light eternal, born of a virgin, a mortal he comes; very God, begotten, not created! O come, let us adore him; O come, let us adore him; O come, let us adore him, Christ, the Lord! 3 Sing, choirs of angels; sing in exultation; sing, all ye citizens of heaven above! Glory to God, all glory in the highest! O come, let us adore him; O come, let us adore him; O come, let us adore him, Christ, the Lord! 4 Yea, Lord, we greet thee, born this happy morning; Jesus, to thee be all glory given; Word of the Father, now in flesh appearing! O come, let us adore him; O come, let us adore him; O come, let us adore him, Christ, the Lord!"
134,"Previous Hymn Next Hymn Favorite Create Joy to the World Added to Favorites Lyrics 1 Joy to the world, the Lord is come! Let earth receive her king; let every heart prepare him room, and heaven and nature sing, and heaven and nature sing, and heaven, and heaven and nature sing. 2 Joy to the earth, the Savior reigns! Let all their songs employ, while fields and floods, rocks, hills, and plains repeat the sounding joy, repeat the sounding joy, repeat, repeat the sounding joy. 3 No more let sins and sorrows grow, nor thorns infest the ground; he comes to make his blessings flow far as the curse is found, far as the curse is found, far as, far as the curse is found. 4 He rules the world with truth and grace, and makes the nations prove the glories of his righteousness and wonders of his love, and wonders of his love, and wonders, wonders of his love. Informational Notes While Isaac Watts did not write this text strictly for Christmas use, he did purposely cast his paraphrase of Psalm 98:4–9 in Christian terms, titling it “The Messiah’s coming and kingdom.” So “the Lord” here is Jesus Christ, rather than the God of Abraham, Isaac, and Jacob.","1 Joy to the world, the Lord is come! Let earth receive her king; let every heart prepare him room, and heaven and nature sing, and heaven and nature sing, and heaven, and heaven and nature sing. 2 Joy to the earth, the Savior reigns! Let all their songs employ, while fields and floods, rocks, hills, and plains repeat the sounding joy, repeat the sounding joy, repeat, repeat the sounding joy. 3 No more let sins and sorrows grow, nor thorns infest the ground; he comes to make his blessings flow far as the curse is found, far as the curse is found, far as, far as the curse is found. 4 He rules the world with truth and grace, and makes the nations prove the glories of his righteousness and wonders of his love, and wonders of his love, and wonders, wonders of his love."
135,"Previous Hymn Next Hymn Favorite Create There's a Star in the East Added to Favorites Lyrics 1 There’s a star in the east on Christmas morn. Rise up, shepherd, and follow. It will lead to the place where the Christ was born. Rise up, shepherd, and follow. Refrain Follow, follow; rise up, shepherd, and follow. Follow the star of Bethlehem. Rise up, shepherd, and follow. 2 If you take good heed to the angel’s words, rise up, shepherd, and follow. You’ll forget your flocks, you’ll forget your herds. Rise up, shepherd, and follow.	(Refrain) Informational Notes This African American spiritual, cast in a characteristic call-and-response style, provides a reminder that the good news of the Incarnation should lead Christians not only to awe and adoration but also to living and acting in ways that make God’s purposes known to others.","1 There’s a star in the east on Christmas morn. Rise up, shepherd, and follow. It will lead to the place where the Christ was born. Rise up, shepherd, and follow. Refrain Follow, follow; rise up, shepherd, and follow. Follow the star of Bethlehem. Rise up, shepherd, and follow. 2 If you take good heed to the angel’s words, rise up, shepherd, and follow. You’ll forget your flocks, you’ll forget your herds. Rise up, shepherd, and follow.	(Refrain)"
136,"Previous Hymn Next Hymn Favorite Create Go, Tell It on the Mountain Added to Favorites Lyrics Refrain: Go, tell it on the mountain, over the hills and everywhere; go, tell it on the mountain that Jesus Christ is born! 1 While shepherds kept their watching o’er silent flocks by night, behold, throughout the heavens there shone a holy light.	(Refrain) 2 The shepherds feared and trembled when lo! above the earth rang out the angel chorus that hailed our Savior’s birth. 	(Refrain) 3 Down in a lowly manger the humble Christ was born, and God sent us salvation that blessed Christmas morn. 	(Refrain) Informational Notes Like other material from oral traditions, 19th-century African American spirituals flourished without being written down. Their refrains were their most stable parts, and narrative stanzas were often improvised to fit. These Nativity stanzas attempt to recall that tradition.","Refrain: Go, tell it on the mountain, over the hills and everywhere; go, tell it on the mountain that Jesus Christ is born! 1 While shepherds kept their watching o’er silent flocks by night, behold, throughout the heavens there shone a holy light.	(Refrain) 2 The shepherds feared and trembled when lo! above the earth rang out the angel chorus that hailed our Savior’s birth. 	(Refrain) 3 Down in a lowly manger the humble Christ was born, and God sent us salvation that blessed Christmas morn. 	(Refrain)"
137,"Previous Hymn Next Hymn Favorite Create He Came Down Added to Favorites Lyrics He came down that we may have love; he came down that we may have love; he came down that we may have love; hallelujah forevermore. (Additional stanzas) … that we may have light … that we may have peace … that we may have joy Informational Notes Because this traditional Cameroon piece begins with the refrain, it does not initially reveal that it is cast as a call-and-response song. Assigning the answers to the congregation rather than to the leader is a notable affirmation of the corporate wisdom of God’s people.",He came down that we may have love; he came down that we may have love; he came down that we may have love; hallelujah forevermore. (Additional stanzas) … that we may have light … that we may have peace … that we may have joy
138,"Previous Hymn Next Hymn Favorite Create Who Would Think that What Was Needed Added to Favorites ‹ › Lyrics 1 Who would think that what was needed to transform and save the earth might not be a plan or army, proud in purpose, proved in worth? Who would think, despite derision, that a child should lead the way? God surprises earth with heaven, coming here on Christmas Day. 2 Shepherds watch and wise men wonder; monarchs scorn and angels sing; such a place as none would reckon hosts a holy helpless thing. Stable beasts and by-passed strangers watch a baby laid in hay; God surprises earth with heaven, coming here on Christmas Day. 3 Centuries of skill and science span the past from which we move, yet experience questions whether, with such progress, we improve. While the human lot we ponder, lest our hopes and humor fray, God surprises earth with heaven, coming here on Christmas Day. Informational Notes Hindsight is nearly always clearer than foresight, and with gentle good humor this Christmas hymn points out how great was the gap between human expectation and God’s actual way of providing a means of salvation for us. God’s ways continually exceed our claims to comprehend them.","1 Who would think that what was needed to transform and save the earth might not be a plan or army, proud in purpose, proved in worth? Who would think, despite derision, that a child should lead the way? God surprises earth with heaven, coming here on Christmas Day. 2 Shepherds watch and wise men wonder; monarchs scorn and angels sing; such a place as none would reckon hosts a holy helpless thing. Stable beasts and by-passed strangers watch a baby laid in hay; God surprises earth with heaven, coming here on Christmas Day. 3 Centuries of skill and science span the past from which we move, yet experience questions whether, with such progress, we improve. While the human lot we ponder, lest our hopes and humor fray, God surprises earth with heaven, coming here on Christmas Day."
139,"Previous Hymn Next Hymn Favorite Create That Boy-Child of Mary Added to Favorites Lyrics Refrain: That boy-child of Mary was born in a stable, a manger his cradle in Bethlehem. 1 What shall we call him, child of the manger? What name is given in Bethlehem? 	(Refrain) 2 His name is Jesus, God ever with us, God given for us in Bethlehem. 	(Refrain) 3 How can he save us; how can he help us, born here among us in Bethlehem? 	(Refrain) 4 Gift of the Father, to human mother, makes him our brother of Bethlehem. 	(Refrain) 5 One with the Father, he is our Savior, heaven-sent helper of Bethlehem. 	(Refrain) 6 Gladly we praise him, love and adore him, give ourselves to him of Bethlehem. 	(Refrain) Informational Notes Written by a Scottish missionary for use at St. Michael's Cathedral in Blantyre, Malawi, this hymn on the meaning of Christ’s birth and name reflects an aspect of that African culture, where naming often expresses the conditions of a child’s birth or hopes for his or her life.","Refrain: That boy-child of Mary was born in a stable, a manger his cradle in Bethlehem. 1 What shall we call him, child of the manger? What name is given in Bethlehem? 	(Refrain) 2 His name is Jesus, God ever with us, God given for us in Bethlehem. 	(Refrain) 3 How can he save us; how can he help us, born here among us in Bethlehem? 	(Refrain) 4 Gift of the Father, to human mother, makes him our brother of Bethlehem. 	(Refrain) 5 One with the Father, he is our Savior, heaven-sent helper of Bethlehem. 	(Refrain) 6 Gladly we praise him, love and adore him, give ourselves to him of Bethlehem. 	(Refrain)"
140,"Previous Hymn Next Hymn Favorite Create Once in Royal David's City Added to Favorites Lyrics 1 Once in royal David’s city stood a lowly cattle shed, where a mother laid her baby in a manger for his bed: Mary was that mother mild; Jesus Christ, her little child. 2 He came down to earth from heaven who is God and Lord of all, and his shelter was a stable, and his cradle was a stall; with the poor and meek and lowly, lived on earth our Savior holy. 3 Jesus is our childhood’s pattern; day by day like us he grew; he was little, weak and helpless; tears and smiles like us he knew; and he feels for all our sadness, and he shares in all our gladness. 4 And our eyes at last shall see him, through his own redeeming love; for that child so dear and gentle is our Lord in heaven above; and he leads his children on to the place where he is gone. Informational Notes Like “All Things Bright and Beautiful” (see no. 20), this popular Christmas hymn was written by an Irish poet to illustrate for children the various articles of the Apostles’ Creed. It is not known which of several English villages the composer had in mind when naming this tune.","1 Once in royal David’s city stood a lowly cattle shed, where a mother laid her baby in a manger for his bed: Mary was that mother mild; Jesus Christ, her little child. 2 He came down to earth from heaven who is God and Lord of all, and his shelter was a stable, and his cradle was a stall; with the poor and meek and lowly, lived on earth our Savior holy. 3 Jesus is our childhood’s pattern; day by day like us he grew; he was little, weak and helpless; tears and smiles like us he knew; and he feels for all our sadness, and he shares in all our gladness. 4 And our eyes at last shall see him, through his own redeeming love; for that child so dear and gentle is our Lord in heaven above; and he leads his children on to the place where he is gone."
141,"Previous Hymn Next Hymn Favorite Create On This Day Earth Shall Ring Added to Favorites Lyrics 1 On this day earth shall ring with the song children sing to the Lord, Christ our King, born on earth to save us; him the Father gave us. Ideo, ideo, ideo gloria in excelsis Deo! 2 His the doom, ours the mirth; when he came down to earth Bethlehem saw his birth; ox and ass beside him from the cold would hide him. Ideo, ideo, ideo gloria in excelsis Deo! 3 God’s bright star, o’er his head, wise men three to him led; kneel they low by his bed, lay their gifts before him, praise him and adore him. Ideo, ideo, ideo gloria in excelsis Deo! 4 On this day angels sing; with their song earth shall ring, praising Christ, heaven’s King, born on earth to save us; peace and love he gave us. Ideo, ideo, ideo gloria in excelsis Deo! Informational Notes Although this Latin carol for Christmas may have roots several centuries older than its 16th-century emergence, the text was all in one language until its 20th-century translator chose to adopt the original last two lines of the fourth stanza as a unifying refrain in all stanzas.","1 On this day earth shall ring with the song children sing to the Lord, Christ our King, born on earth to save us; him the Father gave us. Ideo, ideo, ideo gloria in excelsis Deo! 2 His the doom, ours the mirth; when he came down to earth Bethlehem saw his birth; ox and ass beside him from the cold would hide him. Ideo, ideo, ideo gloria in excelsis Deo! 3 God’s bright star, o’er his head, wise men three to him led; kneel they low by his bed, lay their gifts before him, praise him and adore him. Ideo, ideo, ideo gloria in excelsis Deo! 4 On this day angels sing; with their song earth shall ring, praising Christ, heaven’s King, born on earth to save us; peace and love he gave us. Ideo, ideo, ideo gloria in excelsis Deo!"
142,"Previous Hymn Next Hymn Favorite Create Twas in the Moon of Wintertime Added to Favorites Lyrics 1 ’Twas in the moon of wintertime, when all the birds had fled, Great Spirit, Lord of all the earth sent angel choirs instead. Before their light the stars grew dim and wandering hunters heard the hymn: Jesus, your king, is born; Jesus is born. In excelsis gloria. 2 Within a lodge of broken bark the tender babe was found. A ragged robe of rabbit skin enwrapped his beauty round. But as the hunters brave drew nigh the angel song rang loud and high: Jesus, your king, is born; Jesus is born. In excelsis gloria. 3 The earliest moon of wintertime is not so round and fair as was the ring of glory on the helpless infant there. The chiefs from far before him knelt with gifts of fox and beaver pelt. Jesus, your king, is born; Jesus is born. In excelsis gloria. 4 O children of the forest free, the angel song is true: the holy child of earth and heaven is born today for you. Come kneel before the radiant boy who brings you beauty, peace, and joy. Jesus, your king, is born; Jesus is born. In excelsis gloria. Informational Notes This English text preserves the earliest known Canadian hymn, originally written in the Huron language by a missionary, later translated into French, and eventually paraphrased in English. It is set to a French noël tune old enough to have been used for the original version.","1 ’Twas in the moon of wintertime, when all the birds had fled, Great Spirit, Lord of all the earth sent angel choirs instead. Before their light the stars grew dim and wandering hunters heard the hymn: Jesus, your king, is born; Jesus is born. In excelsis gloria. 2 Within a lodge of broken bark the tender babe was found. A ragged robe of rabbit skin enwrapped his beauty round. But as the hunters brave drew nigh the angel song rang loud and high: Jesus, your king, is born; Jesus is born. In excelsis gloria. 3 The earliest moon of wintertime is not so round and fair as was the ring of glory on the helpless infant there. The chiefs from far before him knelt with gifts of fox and beaver pelt. Jesus, your king, is born; Jesus is born. In excelsis gloria. 4 O children of the forest free, the angel song is true: the holy child of earth and heaven is born today for you. Come kneel before the radiant boy who brings you beauty, peace, and joy. Jesus, your king, is born; Jesus is born. In excelsis gloria."
143,"Previous Hymn Next Hymn Favorite Create Angels, from the Realms of Glory Added to Favorites Lyrics 1 Angels, from the realms of glory, wing your flight o’er all the earth; you, who sang creation’s story, now proclaim Messiah’s birth: come and worship, come and worship, worship Christ, the newborn king! 2 Shepherds, in the fields abiding, watching o’er your flocks by night, God with us is now residing; yonder shines the infant light: come and worship, come and worship, worship Christ, the newborn king! 3 Sages, leave your contemplations; brighter visions beam afar; seek the great desire of nations; you have seen his natal star: come and worship, come and worship, worship Christ, the newborn king! 4 All creation, join in praising God the Father, Spirit, Son, evermore your voices raising to the eternal Three in One: come and worship, come and worship, worship Christ, the newborn king! Informational Notes This familiar carol was first published as a poem in the Christmas Eve 1816 issue of a newspaper the author edited in Sheffield, England. The tune name celebrates the location of a prominent Presbyterian Church in London, sometimes called the “Presbyterian cathedral.”","1 Angels, from the realms of glory, wing your flight o’er all the earth; you, who sang creation’s story, now proclaim Messiah’s birth: come and worship, come and worship, worship Christ, the newborn king! 2 Shepherds, in the fields abiding, watching o’er your flocks by night, God with us is now residing; yonder shines the infant light: come and worship, come and worship, worship Christ, the newborn king! 3 Sages, leave your contemplations; brighter visions beam afar; seek the great desire of nations; you have seen his natal star: come and worship, come and worship, worship Christ, the newborn king! 4 All creation, join in praising God the Father, Spirit, Son, evermore your voices raising to the eternal Three in One: come and worship, come and worship, worship Christ, the newborn king!"
144,"Previous Hymn Next Hymn Favorite Create In the Bleak Midwinter Added to Favorites Lyrics 1 In the bleak midwinter, frosty wind made moan; earth stood hard as iron, water like a stone; snow had fallen, snow on snow, snow on snow, in the bleak midwinter, long ago. 2 Our God, heaven cannot hold him, nor earth sustain; heaven and earth shall flee away when he comes to reign: in the bleak midwinter a stable place sufficed the Lord God incarnate, Jesus Christ. 3 Angels and archangels may have gathered there; cherubim and seraphim thronged the air; but his mother only, in her maiden bliss, worshiped the beloved with a kiss. 4 What can I give him, poor as I am? If I were a shepherd, I would bring a lamb; if I were a wise man, I would do my part; yet what I can I give him: give my heart. Informational Notes Though this text describes winter weather in England rather than in Palestine, the poet is using familiar surroundings as a means of making the Nativity more immediate and personal. The tune name honors a Gloucestershire village near the composer’s birthplace in Cheltenham.","1 In the bleak midwinter, frosty wind made moan; earth stood hard as iron, water like a stone; snow had fallen, snow on snow, snow on snow, in the bleak midwinter, long ago. 2 Our God, heaven cannot hold him, nor earth sustain; heaven and earth shall flee away when he comes to reign: in the bleak midwinter a stable place sufficed the Lord God incarnate, Jesus Christ. 3 Angels and archangels may have gathered there; cherubim and seraphim thronged the air; but his mother only, in her maiden bliss, worshiped the beloved with a kiss. 4 What can I give him, poor as I am? If I were a shepherd, I would bring a lamb; if I were a wise man, I would do my part; yet what I can I give him: give my heart."
145,"Previous Hymn Next Hymn Favorite Create What Child Is This Added to Favorites Lyrics 1 What child is this, who, laid to rest, on Mary’s lap is sleeping? Whom angels greet with anthems sweet while shepherds watch are keeping? This, this is Christ the King, whom shepherds guard and angels sing; haste, haste to bring him laud, the babe, the son of Mary! 2 Why lies he in such mean estate where ox and ass are feeding? Good Christian, fear; for sinners here the silent Word is pleading. Nails, spear, shall pierce him through; the cross be borne for me, for you. Hail, hail, the Word made flesh, the babe, the son of Mary! 3 So bring him incense, gold, and myrrh; come, one and all, to own him. The King of kings salvation brings; let loving hearts enthrone him. Raise, raise the song on high. The virgin sings her lullaby. Joy, joy, for Christ is born, the babe, the son of Mary! Informational Notes This Victorian text gains scope and power by having the original second halves of stanzas two and three restored. They give a stark forward glimpse of what lies ahead for this “babe, the son of Mary!” The tune is much older, dating from Tudor England.","1 What child is this, who, laid to rest, on Mary’s lap is sleeping? Whom angels greet with anthems sweet while shepherds watch are keeping? This, this is Christ the King, whom shepherds guard and angels sing; haste, haste to bring him laud, the babe, the son of Mary! 2 Why lies he in such mean estate where ox and ass are feeding? Good Christian, fear; for sinners here the silent Word is pleading. Nails, spear, shall pierce him through; the cross be borne for me, for you. Hail, hail, the Word made flesh, the babe, the son of Mary! 3 So bring him incense, gold, and myrrh; come, one and all, to own him. The King of kings salvation brings; let loving hearts enthrone him. Raise, raise the song on high. The virgin sings her lullaby. Joy, joy, for Christ is born, the babe, the son of Mary!"
146,"Previous Hymn Next Hymn Favorite Create Gentle Mary Laid Her Child Added to Favorites Lyrics 1 Gentle Mary laid her child lowly in a manger; there he lay, the undefiled, to the world a stranger. Such a babe in such a place, can he be the Savior? Ask the saved of all the race who have found his favor. 2 Angels sang about his birth; wise men sought and found him; heaven’s star shone brightly forth, glory all around him. Shepherds saw the wondrous sight, heard the angels singing; all the plains were lit that night; all the hills were ringing. 3 Gentle Mary laid her child lowly in a manger; he is still the undefiled, but no more a stranger. Son of God, of humble birth, beautiful the story; praise his name in all the earth; hail the King of glory! Informational Notes This 20th-century Christmas text by an English-born Canadian clergyman was originally a poem called “The Manger Prince.” It gains a certain antique flavor by being set to a late medieval song associated with springtime. (The tune name means “The flowering time is near.”)","1 Gentle Mary laid her child lowly in a manger; there he lay, the undefiled, to the world a stranger. Such a babe in such a place, can he be the Savior? Ask the saved of all the race who have found his favor. 2 Angels sang about his birth; wise men sought and found him; heaven’s star shone brightly forth, glory all around him. Shepherds saw the wondrous sight, heard the angels singing; all the plains were lit that night; all the hills were ringing. 3 Gentle Mary laid her child lowly in a manger; he is still the undefiled, but no more a stranger. Son of God, of humble birth, beautiful the story; praise his name in all the earth; hail the King of glory!"
147,"Previous Hymn Next Hymn Favorite Create The First Nowell Added to Favorites ‹ › Lyrics 1 The first Nowell the angel did say was to certain poor shepherds in fields as they lay, in fields where they lay keeping their sheep, on a cold winter’s night that was so deep. Refrain: Nowell, Nowell, Nowell, Nowell, born is the King of Israel. 2 They looked up and saw a star shining in the east beyond them far; and to the earth it gave great light, and so it continued both day and night. 	(Refrain) 3 And by the light of that same star three wise men came from country far; to seek for a king was their intent, and to follow the star wherever it went. 	(Refrain) 4 This star drew nigh to the northwest; o’er Bethlehem it took its rest, and there it did both stop and stay, right over the place where Jesus lay. 	(Refrain) 5 Then entered in those wise men three, full reverently upon their knee, and offered there in his presence their gold, and myrrh, and frankincense. 	(Refrain) 6 Then let us all with one accord sing praises to our heavenly Lord, that hath made heaven and earth of nought, and with his blood our life hath bought. 	(Refrain) Informational Notes Nowell” is the English form of the French “noel,” a shout of joy formerly used at Christmas (as in Chaucer’s “Franklin’s Tale”), a clue that the word is older than its first printing. It may have Latin and French roots related to “born” (natus /né) as well to “news” (nova/nouvelle).","1 The first Nowell the angel did say was to certain poor shepherds in fields as they lay, in fields where they lay keeping their sheep, on a cold winter’s night that was so deep. Refrain: Nowell, Nowell, Nowell, Nowell, born is the King of Israel. 2 They looked up and saw a star shining in the east beyond them far; and to the earth it gave great light, and so it continued both day and night. 	(Refrain) 3 And by the light of that same star three wise men came from country far; to seek for a king was their intent, and to follow the star wherever it went. 	(Refrain) 4 This star drew nigh to the northwest; o’er Bethlehem it took its rest, and there it did both stop and stay, right over the place where Jesus lay. 	(Refrain) 5 Then entered in those wise men three, full reverently upon their knee, and offered there in his presence their gold, and myrrh, and frankincense. 	(Refrain) 6 Then let us all with one accord sing praises to our heavenly Lord, that hath made heaven and earth of nought, and with his blood our life hath bought. 	(Refrain)"
148,"Previous Hymn Next Hymn Favorite Create Mary and Joseph Came to the Temple Added to Favorites Lyrics 1 Mary and Joseph came to the temple brought the boy Jesus, offered him there. People were waiting wanting to greet him; long had they sought him, solace for care. 2 Anna had prayed there, widowed, long waiting, worshiping God by day and by night. Now she is praising, filled with elation: here is God's promise, Christ is her light. 3 Simeon sings now: God proffers blessing, brilliantly gilding dawn of his day. Light in the darkness, never extinguished, Light of all nations, light up our way. Informational Notes This text retells the story in Luke 2:22–39, usually called the Presentation of Christ in the Temple, which took place forty days after his birth. Mary, Joseph, and the Christ-child encounter there two devout people, Anna and Simeon, who identify this baby as the promised Messiah.","1 Mary and Joseph came to the temple brought the boy Jesus, offered him there. People were waiting wanting to greet him; long had they sought him, solace for care. 2 Anna had prayed there, widowed, long waiting, worshiping God by day and by night. Now she is praising, filled with elation: here is God's promise, Christ is her light. 3 Simeon sings now: God proffers blessing, brilliantly gilding dawn of his day. Light in the darkness, never extinguished, Light of all nations, light up our way."
149,"Previous Hymn Next Hymn Favorite Create All Hail to God's Anointed Added to Favorites Lyrics 1 All hail to God’s anointed, great David’s greater Son! All hail, in time appointed, your reign on earth begun! You come to break oppression, to set the captive free, to take away transgression and rule in equity. 2 You come with rescue speedy to those who suffer wrong, to help the poor and needy and bid the weak be strong; to give them songs for sighing, their darkness turn to light, whose souls, condemned and dying, are precious in your sight. 3 You shall come down like showers upon the fruitful earth; love, joy, and hope, like flowers, spring in your path to birth. Before you on the mountains shall peace, the herald, go, and righteousness in fountains from hill to valley flow. 4 All rulers bow before you, and gold and incense bring. All nations shall adore you; your praise all people sing. To you shall prayer unceasing and daily vows ascend. Your rule is still increasing; your rule is without end. Informational Notes Originally a celebration of God’s sovereignty, Psalm 72 has often been given a Christological interpretation, notably in Isaac Watts’ “Jesus Shall Reign” (see no. 265). The references to rulers here probably influenced the view that the Magi of Matthew 2 were kings (see no. 151).","1 All hail to God’s anointed, great David’s greater Son! All hail, in time appointed, your reign on earth begun! You come to break oppression, to set the captive free, to take away transgression and rule in equity. 2 You come with rescue speedy to those who suffer wrong, to help the poor and needy and bid the weak be strong; to give them songs for sighing, their darkness turn to light, whose souls, condemned and dying, are precious in your sight. 3 You shall come down like showers upon the fruitful earth; love, joy, and hope, like flowers, spring in your path to birth. Before you on the mountains shall peace, the herald, go, and righteousness in fountains from hill to valley flow. 4 All rulers bow before you, and gold and incense bring. All nations shall adore you; your praise all people sing. To you shall prayer unceasing and daily vows ascend. Your rule is still increasing; your rule is without end."
150,"Previous Hymn Next Hymn Favorite Create As with Gladness Men of Old Added to Favorites Lyrics 1 As with gladness men of old did the guiding star behold; as with joy they hailed its light, leading onward, beaming bright; so, most gracious Lord, may we evermore be led to thee. 2 As with joyful steps they sped, Savior, to thy lowly bed, there to bend the knee before thee, whom heaven and earth adore; so may we with willing feet ever seek thy mercy seat. 3 As they offered gifts most rare at thy manger, rude and bare, so may we with holy joy, pure and free from sin’s alloy, all our costliest treasures bring, Christ, to thee, our heavenly king. 4 Holy Jesus, every day keep us in the narrow way; and when earthly things are past, bring our ransomed souls at last where they need no star to guide, where no clouds thy glory hide. Informational Notes The first three stanzas here use an as/so structure to draw parallels between the coming of the Magi and the spiritual lives of the singers, summed up in the prayer of the fourth stanza. Even though this adapted German tune was named for him, the author did not care for it.","1 As with gladness men of old did the guiding star behold; as with joy they hailed its light, leading onward, beaming bright; so, most gracious Lord, may we evermore be led to thee. 2 As with joyful steps they sped, Savior, to thy lowly bed, there to bend the knee before thee, whom heaven and earth adore; so may we with willing feet ever seek thy mercy seat. 3 As they offered gifts most rare at thy manger, rude and bare, so may we with holy joy, pure and free from sin’s alloy, all our costliest treasures bring, Christ, to thee, our heavenly king. 4 Holy Jesus, every day keep us in the narrow way; and when earthly things are past, bring our ransomed souls at last where they need no star to guide, where no clouds thy glory hide."
151,"Previous Hymn Next Hymn Favorite Create We Three Kings of Orient Are Added to Favorites Lyrics 1 We three kings of Orient are; bearing gifts we traverse afar, field and fountain, moor and mountain, following yonder star. Refrain: O star of wonder, star of night, star with royal beauty bright, westward leading, still proceeding, guide us to thy perfect light! 2 Born a King on Bethlehem’s plain, gold I bring to crown him again, King forever, ceasing never over us all to reign. 	(Refrain) 3 Frankincense to offer have I; incense owns a deity nigh; prayer and praising gladly raising, worshiping God Most High. 	(Refrain) 4 Myrrh is mine; its bitter perfume breathes a life of gathering gloom; sorrowing, sighing, bleeding, dying, sealed in the stone-cold tomb. 	(Refrain) 5 Glorious now behold him arise, King and God and Sacrifice: Alleluia! Alleluia! sounds through the earth and skies. 	(Refrain) Informational Notes Although Christians had begun by the 2nd century to speak of these visitors from eastern countries (Matthew 2:1–12) as “kings,” perhaps because of passages like Psalm 72:10 and Isaiah 60:3, it is more accurate to think of them as magi or astrologers, the scholars of their day.","1 We three kings of Orient are; bearing gifts we traverse afar, field and fountain, moor and mountain, following yonder star. Refrain: O star of wonder, star of night, star with royal beauty bright, westward leading, still proceeding, guide us to thy perfect light! 2 Born a King on Bethlehem’s plain, gold I bring to crown him again, King forever, ceasing never over us all to reign. 	(Refrain) 3 Frankincense to offer have I; incense owns a deity nigh; prayer and praising gladly raising, worshiping God Most High. 	(Refrain) 4 Myrrh is mine; its bitter perfume breathes a life of gathering gloom; sorrowing, sighing, bleeding, dying, sealed in the stone-cold tomb. 	(Refrain) 5 Glorious now behold him arise, King and God and Sacrifice: Alleluia! Alleluia! sounds through the earth and skies. 	(Refrain)"
152,"Previous Hymn Next Hymn Favorite Create What Star Is This, with Beams So Bright Added to Favorites Lyrics 1 What star is this, with beams so bright, more lovely than the noonday light? ’Tis sent to announce a newborn king, glad tidings of our God to bring. 2 ’Tis now fulfilled what God decreed, “From Jacob shall a star proceed”; and lo! the eastern sages stand to read in heaven the Lord’s command. 3 While outward signs the star displays, an inward light the Lord conveys and urges them, with tender might, to seek the giver of the light. 4 O Jesus, while the star of grace impels us on to seek your face, let not our slothful hearts refuse the guidance of your light to use. Informational Notes This 18th-century Latin text calls attention to three kinds of light: the light of the star leading the Magi to the Christ-child, the inward light inspiring their journey, and Christ who is the Light of the world. The simple unison melody unites everything in a gentle arc.","1 What star is this, with beams so bright, more lovely than the noonday light? ’Tis sent to announce a newborn king, glad tidings of our God to bring. 2 ’Tis now fulfilled what God decreed, “From Jacob shall a star proceed”; and lo! the eastern sages stand to read in heaven the Lord’s command. 3 While outward signs the star displays, an inward light the Lord conveys and urges them, with tender might, to seek the giver of the light. 4 O Jesus, while the star of grace impels us on to seek your face, let not our slothful hearts refuse the guidance of your light to use."
